,BUA22CD,BUA22NM
0,E63000268,Workington
1,E63000601,Harrogate
2,E63000746,Nelson (Pendle)
3,E63000789,Pudsey
4,E63000859,Rothwell (Leeds)
5,E63000864,Accrington
6,E63000869,Blackburn (Blackburn with Darwen)
7,E63000947,Leyland
8,E63001112,Scunthorpe
9,E63001155,Formby
10,E63001160,Barnsley
11,E63001173,Whitefield
12,E63001177,Wigan
13,E63001321,Urmston
14,E63001325,St Helens (St. Helens)
15,E63001395,Altrincham
16,E63001997,Ilkeston
17,E63002069,Grantham
18,E63002256,Burton upon Trent
19,E63002336,Rugeley
20,E63002408,Coalville
21,E63002507,Norwich
22,E63002522,Lichfield
23,E63002526,Burntwood
24,E63002644,Tamworth
25,E63002748,March
26,E63002782,Wednesbury
27,E63002887,Rowley Regis
28,E63002889,Smethwick
29,E63003342,Daventry
30,E63003403,St Neots
31,E63003597,Bedford
32,E63003946,Felixstowe
33,E63004191,Bishop's Stortford
34,E63004347,Aylesbury
35,E63004435,Berkhamsted
36,E63004442,Chelmsford
37,E63004542,Cheshunt
38,E63004772,Didcot
39,E63004883,Stanford-le-Hope
40,E63005238,Sittingbourne
41,E63005306,Sandhurst (Bracknell Forest)
42,E63006538,Shoreham-by-Sea
43,E63006721,Ryde
44,E63006956,St Austell
